product_id,name,category,price,quantity,created_date
P1001,Laptop 1,electronics,15137.00,4,2026-06-01
P1002,Mouse 2,accessories,1024.00,7,2026-06-02
P1003,Chair 3,furniture,3411.00,10,2026-06-03
P1004,Microwave 4,appliances,7298.00,13,2026-06-04
P1005,Notebook 5,stationery,1785.00,16,2026-06-05
P1006,Monitor 6,electronics,15822.00,19,2026-06-06
P1007,Keyboard 7,accessories,1709.00,22,2026-06-07
P1008,Desk 8,furniture,4096.00,25,2026-06-08
P1009,Refrigerator 9,appliances,7983.00,28,2026-06-09
P1010,Pen Set 10,stationery,2470.00,31,2026-06-10
P1011,Tablet 11,electronics,16507.00,34,2026-06-11
P1012,Headphone 12,accessories,2394.00,37,2026-06-12
P1013,Table 13,furniture,4781.00,40,2026-06-13
P1014,Washing Machine 14,appliances,8668.00,43,2026-06-14
P1015,Marker Pack 15,stationery,3155.00,46,2026-06-15
P1016,Smartphone 16,electronics,17192.00,49,2026-06-16
P1017,USB Cable 17,accessories,3079.00,2,2026-06-17
P1018,Bookshelf 18,furniture,5466.00,5,2026-06-18
P1019,Air Cooler 19,appliances,9353.00,8,2026-06-19
P1020,File Folder 20,stationery,3840.00,11,2026-06-20
P1021,Camera 21,electronics,17877.00,14,2026-06-21
P1022,Laptop Stand 22,accessories,3764.00,17,2026-06-22
P1023,Cabinet 23,furniture,6151.00,20,2026-06-23
P1024,Water Purifier 24,appliances,10038.00,23,2026-06-24
P1025,Stapler 25,stationery,4525.00,26,2026-06-25
P1026,Speaker 26,electronics,18562.00,29,2026-06-26
P1027,Webcam 27,accessories,4449.00,32,2026-06-27
P1028,Sofa 28,furniture,6836.00,35,2026-06-28
P1029,Mixer Grinder 29,appliances,10723.00,38,2026-06-29
P1030,Calculator 30,stationery,5210.00,41,2026-06-30
P1031,Router 31,electronics,19247.00,44,2026-07-01
P1032,Charger 32,accessories,5134.00,47,2026-07-02
P1033,Bed Frame 33,furniture,7521.00,50,2026-07-03
P1034,Toaster 34,appliances,11408.00,3,2026-07-04
P1035,Diary 35,stationery,5895.00,6,2026-07-05
P1036,Projector 36,electronics,19932.00,9,2026-07-06
P1037,Power Bank 37,accessories,5819.00,12,2026-07-07
P1038,Wardrobe 38,furniture,8206.00,15,2026-07-08
P1039,Electric Kettle 39,appliances,12093.00,18,2026-07-09
P1040,Sticky Notes 40,stationery,6580.00,21,2026-07-10
P1041,Printer 41,electronics,20617.00,24,2026-07-11
